Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-24 00:00:00-04:00,70.30513824697539,71.49172259829788,67.2218158014388,71.2669906616211,2675500,0.0,0.0
2020-03-25 00:00:00-04:00,70.32311730920031,72.87606869686608,69.14551735320599,71.03326416015625,2430100,0.0,0.0
2020-03-26 00:00:00-04:00,72.38165677225216,82.24289492738929,72.21086516960837,79.97760009765625,3309800,0.0,0.0
2020-03-27 00:00:00-04:00,76.7684188747416,78.62020754726461,74.04466932763496,74.68290710449219,1889100,0.0,0.0
2020-03-30 00:00:00-04:00,74.77282896474993,75.70771487836625,72.60640926085253,74.66495513916016,1692700,0.0,0.0
2020-03-31 00:00:00-04:00,73.20867598170234,73.52329931320895,71.07821480845888,72.18389892578125,2474400,0.0,0.0
2020-04-01 00:00:00-04:00,68.57919583418033,71.01528910583046,66.61953315161252,70.80853271484375,3038200,0.0,0.0
2020-04-02 00:00:00-04:00,69.58600479460318,71.40183594613049,68.26457982169636,69.62195587158203,2238900,0.0,0.0
2020-04-03 00:00:00-04:00,69.14553165641628,69.60398680065732,65.63971151357853,65.9273681640625,1595700,0.0,0.0
2020-04-06 00:00:00-04:00,68.65395621700219,72.41321231433008,67.56693865877448,71.2809066772461,1995700,0.56,0.0
2020-04-07 00:00:00-04:00,75.4749584437884,76.5529155386289,73.48210344074937,75.55648803710938,1748800,0.0,0.0
2020-04-08 00:00:00-04:00,76.09093467382773,80.6201569758413,76.09093467382773,79.56937408447266,1785600,0.0,0.0
2020-04-09 00:00:00-04:00,80.62017537664454,84.37037174577553,80.50241805789129,81.31767272949219,1953300,0.0,0.0
2020-04-13 00:00:00-04:00,81.3176622567292,81.50789569405234,77.36818637474967,78.29214477539062,1167500,0.0,0.0
2020-04-14 00:00:00-04:00,79.26140537344786,81.99705312376258,78.89906613810288,81.6166000366211,1342000,0.0,0.0
2020-04-15 00:00:00-04:00,78.34649196798888,81.09119980575657,78.14720506434121,80.66545867919922,1404200,0.0,0.0
2020-04-16 00:00:00-04:00,80.74698068696067,82.88477432629294,79.79584116797854,82.20539093017578,1619500,0.0,0.0
2020-04-17 00:00:00-04:00,84.24352883003397,86.84330473459268,83.99895388396754,86.41755676269531,2369900,0.0,0.0
2020-04-20 00:00:00-04:00,85.33054490456641,87.23282378908019,84.69645655042497,86.0823974609375,1585700,0.0,0.0
2020-04-21 00:00:00-04:00,84.24354592873745,86.42663468354752,83.83591863221022,85.56607818603516,2615400,0.0,0.0
2020-04-22 00:00:00-04:00,90.62069771068224,93.8455023853693,86.5262761085519,90.20401000976562,3771100,0.0,0.0
2020-04-23 00:00:00-04:00,90.58445131573323,93.07552372691589,89.5880237334692,91.18231201171875,3135400,0.0,0.0
